timestamp,Kompressor26kW_device,Kompressor26kW_total_current,Kompressor26kW_total_act_power,Kompressor26kW_total_aprt_power,Kompressor11kW_device,Kompressor11kW_total_current,Kompressor11kW_total_act_power,Kompressor11kW_total_aprt_power,Waermepumpe_device,Waermepumpe_total_current,Waermepumpe_total_act_power,Waermepumpe_total_aprt_power,Ofen24kW_device,Ofen24kW_total_current,Ofen24kW_total_act_power,Ofen24kW_total_aprt_power,Ofen34kW5_device,Ofen34kW5_total_current,Ofen34kW5_total_act_power,Ofen34kW5_total_aprt_power,Lackierkammer_device,Lackierkammer_total_current,Lackierkammer_total_act_power,Lackierkammer_total_aprt_power,Rundtaktautomat_device,Rundtaktautomat_total_current,Rundtaktautomat_total_act_power,Rundtaktautomat_total_aprt_power,ts
2025-05-12 02:00,b'',3.159,14.148,732.439,b'',0.337,18.387,77.973,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.347,13.609,80.311,b'',3.171,59.905,733.768,b'',8.927,1009.81,2068.793,1747008006073402944
2025-05-12 02:15,b'',3.168,14.518,735.551,b'',0.336,18.32,77.704,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.346,13.408,80.177,b'',3.174,61.217,734.996,b'',8.938,1011.122,2072.881,1747008901116265470
2025-05-12 02:30,b'',3.167,13.879,734.542,b'',0.336,18.707,77.636,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.344,13.458,79.722,b'',3.171,60.477,733.516,b'',8.932,1010.096,2070.054,1747009801116453115
2025-05-12 02:45,b'',3.158,12.533,732.002,b'',0.334,18.707,77.266,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.346,13.71,80.126,b'',3.171,60.629,733.095,b'',8.947,1010.803,2071.737,1747010701116471174
2025-05-12 03:00,b'',3.166,11.725,734.862,b'',0.337,18.505,77.956,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.35,13.626,81.018,b'',3.177,60.494,735.837,b'',8.946,1011.156,2074.378,1747011601116525635
2025-05-12 03:15,b'',3.156,14.888,729.529,b'',0.333,18.152,76.862,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.341,13.29,78.73,b'',3.163,60.78,729.428,b'',8.935,1008.296,2064.251,1747012501116345580
2025-05-12 03:30,b'',3.149,14.316,728.166,b'',0.335,18.572,77.182,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.343,13.559,79.083,b'',3.159,60.982,728.503,b'',8.932,1009.305,2062.956,1747013401116461920
2025-05-12 03:45,b'',3.153,13.542,730.084,b'',0.334,18.017,77.266,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.345,13.694,79.672,b'',3.162,61.15,730.101,b'',8.935,1010.769,2066.202,1747014301116200296
2025-05-12 04:00,b'',3.137,13.088,721.807,b'',0.332,18.37,76.122,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.334,13.155,76.762,b'',3.144,60.141,721.622,b'',8.91,1005.941,2048.74,1747015201116454510
2025-05-12 04:15,b'',3.161,14.215,734.29,b'',0.337,18.74,78.091,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.349,14.064,81.018,b'',3.177,61.184,736.107,b'',8.933,1009.76,2073.789,1747016101116214256
2025-05-12 04:30,b'',3.188,14.367,744.333,b'',0.343,18.808,79.823,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.354,13.929,82.464,b'',3.195,61.907,743.963,b'',8.949,1016.051,2087.903,1747017001116456026
2025-05-12 04:45,b'',3.173,14.922,737.149,b'',0.338,18.286,78.309,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.347,13.912,80.563,b'',3.176,60.915,735.921,b'',8.949,1012.872,2076.346,1747017901116467555
2025-05-12 05:00,b'',3.175,12.634,738.293,b'',0.339,18.185,78.578,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.351,13.408,81.573,b'',3.182,60.73,738.26,b'',8.949,1011.694,2079.526,1747018801116110127
2025-05-12 05:15,b'',3.17,13.424,736.561,b'',0.338,18.757,78.444,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.349,13.778,81.034,b'',3.177,61.369,736.191,b'',8.951,1010.752,2077.507,1747019701115013202
2025-05-12 05:30,b'',3.136,15.275,726.719,b'',0.336,18.37,77.569,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.347,13.542,80.16,b'',3.155,60.376,729.209,b'',8.903,1008.649,2061.324,1747020601116431180
2025-05-12 05:45,b'',50.971,8263.866,11722.492,b'',4.239,505.973,970.395,b'',-1.0,-1.0,-1.0,b'',-1.0,-1.0,-1.0,b'',0.334,13.408,76.711,b'',3.143,59.283,722.11,b'',8.903,1008.616,2048.69,1747021501116228440
